SRV_STD;WC200_DST_SRV_RATE;WC200_DST_SERR_RATE;WC200_DST_RERR_RATE;WC200_SRV_SRC_RATE;WT10_DST_SRV_RATE;MAP_SRC_INIT_HAS_A;MAP_SRC_INIT_HAS_F;MAP_SRC_INIT_HAS_S;MAP_SRC_INIT_HAS_R;MAP_SRC_INIT_HAS_P;MAP_SRC_INIT_HAS_C;MAP_SRC_INIT_HAS_U;MAP_SRC_INIT_HAS_E;STATE_SF;MAP_WC200_DST_CNT;MAP_WC200_SRV_CNT;MAP_WT10_DST_CNT;MAP_WT10_SRV_CNT;MAP_SRC_BYTES;IS_NA;IS_AS;IS_DBC;IS_FT;IS_HTTP;IS_MI;IS_MM;IS_NW;IS_RA;IS_UK
HTTP;0.175;0;0.415;0;0.332;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
AS;0.005;0;0.4;0.03;0.004;0;0;0;1;0;0;0;0;1;1;1;1;1;4,91E-03;0;1;0;0;0;0;0;0;0;0
AS;0;0;0.43;0.035;0;0;0;0;1;0;0;0;0;1;1;1;1;1;4,91E-03;0;1;0;0;0;0;0;0;0;0
HTTP;0.05;0;0.44;0;0.118;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.055;0;0.42;0;0.118;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.085;0;0.415;0;0.092;0;0;1;0;0;0;0;0;1;1;1;1;1;1,88E-01;0;0;0;0;1;0;0;0;0;0
AS;0.005;0;0.41;0;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;9,56E-01;0;1;0;0;0;0;0;0;0;0
AS;0.01;0;0.42;0;0.004;0;0;1;0;0;0;0;0;1;1;1;1;1;6,91E-01;0;1;0;0;0;0;0;0;0;0
HTTP;0.065;0;0.435;0.005;0.026;0;0;1;0;0;0;0;0;1;1;1;1;1;1,83E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.075;0;0.43;0;0.116;0;0;1;0;0;0;0;0;1;1;1;1;1;1,78E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.25;0;0.425;0;0.306;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.08;0;0.43;0;0.102;0;0;1;0;0;0;0;0;1;1;1;1;1;1,86E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.07;0;0.38;0;0.112;0;0;1;0;0;0;0;0;1;1;1;1;1;1,78E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.075;0;0.38;0;0.114;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.085;0;0.35;0;0.118;0;0;1;0;0;0;0;0;1;1;1;1;1;1,80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.075;0;0.35;0;0.104;0;0;1;0;0;0;0;0;1;1;1;1;1;1,86E-01;0;0;0;0;1;0;0;0;0;0
AS;0.005;0;0.325;0.005;0.002;1;1;0;0;0;0;0;0;1;1;1;1;1;4,91E-03;0;1;0;0;0;0;0;0;0;0
HTTP;0.37;0;0.31;0;0.302;0;0;1;0;0;0;0;0;1;1;1;1;1;1,81E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.09;0;0.3;0;0.1;0;0;1;0;0;0;0;0;1;1;1;1;1;1,88E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.37;0;0.3;0;0.3;0;0;1;0;0;0;0;0;1;1;1;1;1;1,78E-01;0;0;0;0;1;0;0;0;0;0
