SRV_STD;WC200_DST_SRV_RATE;WC200_DST_SERR_RATE;WC200_DST_RERR_RATE;WC200_SRV_SRC_RATE;WT10_DST_SRV_RATE;MAP_SRC_INIT_HAS_A;MAP_SRC_INIT_HAS_F;MAP_SRC_INIT_HAS_S;MAP_SRC_INIT_HAS_R;MAP_SRC_INIT_HAS_P;MAP_SRC_INIT_HAS_C;MAP_SRC_INIT_HAS_U;MAP_SRC_INIT_HAS_E;STATE_SF;MAP_WC200_DST_CNT;MAP_WC200_SRV_CNT;MAP_WT10_DST_CNT;MAP_WT10_SRV_CNT;MAP_SRC_BYTES;IS_NA;IS_AS;IS_DBC;IS_FT;IS_HTTP;IS_MI;IS_MM;IS_NW;IS_RA;IS_UK
AS;0;0;0.38;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;5.89E-01;0;1;0;0;0;0;0;0;0;0
HTTP;0.36;0;0.39;0;0.508;0;0;1;0;0;0;0;0;1;1;1;1;1;1.79E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.38;0;0.38;0;0.508;0;0;1;0;0;0;0;0;1;1;1;1;1;1.81E-02;0;0;0;0;1;0;0;0;0;0
AS;0;0;0.37;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;6.25E-01;0;1;0;0;0;0;0;0;0;0
AS;0.005;0;0.37;0.005;0.002;1;1;0;0;0;0;0;0;1;1;1;1;1;4.91E-03;0;1;0;0;0;0;0;0;0;0
AS;0.005;0;0.37;0;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;8.56E-01;0;1;0;0;0;0;0;0;0;0
AS;0.01;0;0.37;0.005;0.006;0;0;1;0;0;0;0;0;1;1;1;1;1;6.53E-01;0;1;0;0;0;0;0;0;0;0
AS;0;0;0.385;0;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;5.46E-01;0;1;0;0;0;0;0;0;0;0
HTTP;0;0;0.39;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;4.66E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.4;0;0.39;0;0.462;0;0;1;0;0;0;0;0;1;1;1;1;1;1.78E-01;0;0;0;0;1;0;0;0;0;0
AS;0;0;0.355;0;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;5.67E-01;0;1;0;0;0;0;0;0;0;0
HTTP;0.415;0;0.38;0;0.454;0;0;1;0;0;0;0;0;1;1;1;1;1;1.78E-01;0;0;0;0;1;0;0;0;0;0
NW;0;0;0.335;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;1.46E+00;0;0;0;0;0;0;0;1;0;0
HTTP;0.49;0;0.325;0;0.49;0;0;1;0;0;0;0;0;1;1;1;1;1;1.81E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.55;0;0.295;0;0.502;0;0;1;0;0;0;0;0;1;1;1;1;1;1.81E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.56;0;0.265;0;0.49;0;0;1;0;0;0;0;0;1;1;1;1;1;1.78E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.585;0;0.245;0;0.492;0;0;1;0;0;0;0;0;1;1;1;1;1;1.80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.585;0;0.245;0;0.494;0;0;1;0;0;0;0;0;1;1;1;1;1;1.78E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.595;0;0.245;0;0.504;0;0;1;0;0;0;0;0;1;1;1;1;1;1.80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.6;0;0.23;0;0.51;0;0;1;0;0;0;0;0;1;1;1;1;1;1.80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.63;0;0.2;0;0.51;0;0;1;0;0;0;0;0;1;1;1;1;1;1.81E-02;0;0;0;0;1;0;0;0;0;0
DBC;0.02;0;0.185;0;0.008;1;0;0;0;0;0;0;0;1;1;1;1;1;4.50E-02;0;0;1;0;0;0;0;0;0;0
HTTP;0.64;0;0.185;0;0.51;0;0;1;0;0;0;0;0;1;1;1;1;1;1.80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.64;0;0.185;0;0.512;0;0;1;0;0;0;0;0;1;1;1;1;1;1.80E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0;0;0.15;0;0.03;0;0;1;0;0;0;0;0;1;1;1;1;1;2.15E-02;0;0;0;0;1;0;0;0;0;0
UK;0.005;0;0.155;0;0.004;0;0;1;0;0;0;0;0;1;1;1;1;1;3.44E-01;0;0;0;0;0;0;0;0;0;1
UK;0;0;0.155;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;3.18E-01;0;0;0;0;0;0;0;0;0;1
HTTP;0.02;0;0.16;0.005;0.024;0;0;0;1;0;0;0;0;1;1;1;1;1;4.91E-03;0;0;0;0;1;0;0;0;0;0
AS;0.01;0;0.305;0;0.01;1;1;0;0;0;0;0;0;1;1;1;1;1;4.91E-03;0;1;0;0;0;0;0;0;0;0
HTTP;0.715;0;0.13;0;0.536;0;0;1;0;0;0;0;0;1;1;1;1;1;1.81E-02;0;0;0;0;1;0;0;0;0;0
AS;0;0;0.09;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;6.64E-01;0;1;0;0;0;0;0;0;0;0
AS;0;0;0.09;0.005;0;0;0;1;0;0;0;0;0;1;1;1;1;1;6.74E-02;0;1;0;0;0;0;0;0;0;0
UK;0;0;0.16;0;0;0;0;1;0;0;0;0;0;1;1;1;1;1;7.73E-02;0;0;0;0;0;0;0;0;0;1
AS;0;0;0.295;0;0.004;1;1;0;0;0;0;0;0;1;1;1;1;1;4.91E-03;0;1;0;0;0;0;0;0;0;0
UK;0.005;0;0.285;0;0.006;0;0;1;0;0;0;0;0;1;1;1;1;1;3.87E-01;0;0;0;0;0;0;0;0;0;1
HTTP;0.715;0;0.11;0;0.544;0;0;1;0;0;0;0;0;1;1;1;1;1;1.81E-02;0;0;0;0;1;0;0;0;0;0
HTTP;0.015;0;0.16;0;0.01;0;0;1;0;0;0;0;0;1;1;1;1;1;2.02E-01;0;0;0;0;1;0;0;0;0;0
HTTP;0.02;0;0.16;0;0.022;0;0;1;0;0;0;0;0;1;1;1;1;1;2.49E-01;0;0;0;0;1;0;0;0;0;0
UK;0.005;0;0.155;0;0.002;0;0;1;0;0;0;0;0;1;1;1;1;1;8.23E-02;0;0;0;0;0;0;0;0;0;1
HTTP;0.025;0;0.13;0.005;0.024;0;0;0;1;0;0;0;0;1;1;1;1;1;4.91E-03;0;0;0;0;1;0;0;0;0;0
